Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
acorde,R,"10.1038/s41467-022-29497-w, 10.1101/2021.05.07.441841","2022-04-05, NA",6,https://github.com/ConesaLab/acorde,"Isoform co-usage networks from single-cell RNA-seq data",GPL-3.0,"Alternative Splicing, Differential Expression, Visualisation"
ACTINN,Python,"10.1093/bioinformatics/btz592, 10.1101/532093","2019-07-29, NA",93,https://github.com/mafeiyang/ACTINN,"ACTINN (Automated Cell Type Identification using Neural Networks) is a bioinformatic tool to quickly and accurately identify cell types in scRNA-Seq.",GPL-3.0,Classification
ACTION,C++/R/MATLAB,"10.1038/s41467-018-03933-2, 10.1101/081273","2018-04-17, NA",43,http://compbio.mit.edu/ACTION,"ACTION infers the functional identity of cells from their transcriptional profile, classifies them based on their dominant function, and reconstructs regulatory networks that are responsible for mediating their identity.",'-,"Clustering, Dimensionality Reduction, Gene Networks"
ACTIONet,R/C++,"10.1038/s41467-020-18416-6, 10.1101/746339","2020-10-26, NA",34,https://github.com/shmohammadi86/ACTIONet,"Robust multi-resolution analysis of single-cell datasets",GPL-2.0-or-later,"Classification, Clustering, Dimensionality Reduction, Gene Sets, Integration, Normalisation, Visualisation"
ACTIVA,Python,"10.1093/bioinformatics/btac095, 10.1101/2021.01.28.428725","2022-02-18, NA",10,https://github.com/SindiLab/ACTIVA,"Realistic scRNAseq Generation with Automatic Cell-Type identification using Introspective Variational Autoencoders",MIT,Simulation
activeSVC,Python,"10.1038/s43588-022-00263-8, 10.1101/2021.06.15.448478","2022-06, NA",7,https://github.com/xqchen/activeSVC,"ActiveSVC selects features for large matrix data with reduced computational complexity or limited data acquisition. It approaches Sequential Feature Selection through an active learning strategy with a support vector machine classifier.",GPL-3.0,"Marker Genes, Variable Genes"
ADC,Python,10.1371/journal.pcbi.1009548,2021-11-09,2,https://github.com/zhanglabtools/ADC,"ADC is an efficient method to identify highly interrelated genes across datasets",'-,"Gene Networks"
ADClust,Python,"10.1093/bib/bbac172, 10.1101/2021.12.19.473334","2022-05-06, NA",4,https://github.com/biomed-AI/ADClust,"A Parameter-free Deep Embedded Clustering Method for Single-cell RNA-seq Data",'-,"Clustering, Dimensionality Reduction"
ADImpute,R,"10.1101/611517, 10.1371/journal.pcbi.1009849","NA, 2022-02-17",8,https://github.com/beyergroup/ADImpute,"ADImpute predicts unmeasured gene expression values from single cell RNA-sequencing data (dropout imputation)",GPL-3.0,Imputation
adobo,Python,10.1093/bioinformatics/btaa269,2020-04-23,29,https://github.com/oscar-franzen/adobo,"adobo is a Python-framework for single cell gene expression data analysis",GPL-3.0,"Cell Cycle, Classification, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Imputation, Normalisation, Quality Control, Visualisation"
AE-TPGG,Python,10.1007/s11704-022-2011-y,2022-10-26,0,https://github.com/PUGEA/AE-TPGG,"An autoencoder based on a two-part-generalized-gamma distribution for improving single-cell RNA-seq data Analysis",'-,"Dimensionality Reduction"
aggregateBioVar,R,10.1093/bioinformatics/btab337,2021-05-10,13,https://github.com/jasonratcliff/aggregateBioVar,"aggregateBioVar provides tools to summarize summarize single cell gene expression profiles at the level of samples (i.e., subjects) or populations",GPL-3.0,Quantification
airpart,R,,,'-,https://github.com/Wancen/airpart,"Differential allelic imbalance partition across group of cells",GPL-2.0,"Alternative Splicing, Quality Control, Visualisation"
aLDG,R,arxiv/2203.01990,NA,0,https://github.com/JINJINT/aLDG,"aLDG is an R package for the computing bivariate dependence measure, including dozens of canonical methods and state-of art methods",GPL-3.0,"Gene Networks"
alevin-fry,Rust,"10.1038/s41592-022-01408-3, 10.1101/2021.06.29.450377","2022-03, NA",22,https://github.com/COMBINE-lab/alevin-fry,"alevin-fry is a tool for the accurate, fast and memory frugal pre-processing of single-cell and single-nucleus RNA-seq data",BSD-3-Clause,"Alignment, Quantification, UMIs"
alevinQC,R,,,'-,https://github.com/csoneson/alevinQC,"Generate QC reports summarizing the output from an alevin run",MIT,"Interactive, Visualisation"
ALRA,R,"10.1038/s41467-021-27729-z, 10.1101/397588","2022-01-11, NA",136,https://github.com/KlugerLab/ALRA,"ALRA is a method for imputation of missing values in single cell RNA-sequencing data",MIT,Imputation
AltAnalyze,Python,"10.1038/nature19348, 10.1093/nar/gkz789, 10.1101/412080","2016-08-31, 2019-09-16, NA",452,https://github.com/nsalomonis/altanalyze,"AltAnalyze is a multi-functional and easy-to-use software package for automated single-cell and bulk gene and splicing analyses.",Apache-2.0,"Alternative Splicing, Cell Cycle, Classification, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Interactive, Marker Genes, Normalisation, Quantification, Visualisation"
AlzScPred,Python,10.1101/2023.07.07.548171,NA,0,https://github.com/raghavagps/alzscpred,"A computational approach tool to predict Alzheimer's affected patients from their single cell RNA seq data",GPL-3.0,Classification
